"SiteId"	"SampId"	"MonitoringProgram"	"Day"	"Month"	"Year"	"Station.nb."	"Watercourse"	"Locality"	"Canton"	"X"	"Y"	"Altitude"	"Sampling.window"	"IBCH.index"	"SPEAR.index"	"Latitude"	"Longitude"
"CSCF_JU_DO_13"	"CSCF_JU_DO_13_2011-03-14"	"Other programs"	14	3	2011	"JU_DO_13"	"Doubs"	"Le Theusseret"	"Jura"	563360	232709	495	1	17	36.2	47.2442802674414	6.95468879012345
"CSCF_JU_DO_14"	"CSCF_JU_DO_14_2011-03-20"	"Other programs"	20	3	2011	"JU_DO_14"	"Doubs"	"Clairbief"	"Jura"	567499	238932	480	1	16	42.6	47.300469086927	7.00890647685763
"CSCF_JU_DO_15.7"	"CSCF_JU_DO_15.7_2011-03-14"	"Other programs"	14	3	2011	"JU_DO_15.7"	"Doubs"	"Lomenne"	"Jura"	579901	245148	438	1	17	41.5	47.3568721687842	7.17260660620302
"CSCF_JU_DO_16"	"CSCF_JU_DO_16_2011-03-12"	"Other programs"	12	3	2011	"JU_DO_16"	"Doubs"	"Tillot aval"	"Jura"	577800	245446	435	1	17	43	47.3594850669589	7.14478322053857
"CSCF_JU_SO_08"	"CSCF_JU_SO_08_2011-03-11"	"Other programs"	11	3	2011	"JU_SO_08"	"Sorne"	"Undervelier aval"	"Jura"	583553	239408	530	1	18	44.6	47.3053457309135	7.22115471144414
"CSCF_JU_SO_12"	"CSCF_JU_SO_12_2011-03-11"	"Other programs"	11	3	2011	"JU_SO_12"	"Sorne"	"Courfaivre gare"	"Jura"	589069	242837	445	1	17	48.6	47.3363019755451	7.29401033804748
"CSCF_JU_SO_1910"	"CSCF_JU_SO_1910_2011-03-10"	"Other programs"	10	3	2011	"JU_SO_1910"	"Sorne"	"Delémont La Blancherie"	"Jura"	592907	245713	415	1	14	43.7	47.3622221444171	7.34474493852315
"CSCF_JU_SO_1368"	"CSCF_JU_SO_1368_2011-03-10"	"Other programs"	10	3	2011	"JU_SO_1368"	"Sorne"	"Delémont Centre"	"Jura"	593370	245839	410	1	11	36.6	47.363360245758	7.35087194643075
"CSCF_JU_SO_463"	"CSCF_JU_SO_463_2011-03-10"	"Other programs"	10	3	2011	"JU_SO_463"	"Sorne"	"Delémont amont Morépont"	"Jura"	593726	246520	405	1	15	42.4	47.3694888465171	7.35557499114519
"CSCF_JU_SO_15"	"CSCF_JU_SO_15_2011-03-10"	"Other programs"	10	3	2011	"JU_SO_15"	"Sorne"	"Delémont aval Morépont"	"Jura"	593888	246587	405	1	16	36	47.3700929858003	7.35771881274469
"CSCF_JU_SC_02"	"CSCF_JU_SC_02_2011-03-23"	"Other programs"	23	3	2011	"JU_SC_02"	"Scheulte"	"Mervelier amont"	"Jura"	605220	243004	590	1	16	49.3	47.3378739567825	7.50770448227862
