;column name;unit/type;topic;explanation;further information;link to tab Data_Sources;data owner;license required;spatial context;responsible @ eawag;data example;data example;data example
New;bFRI;%;land use;Proportion of forest intersecting the river length within 150m of the site ;;SwissTLM3D, swissALTI3D;swisstopo;;Polygon (Catchment);Bogdan Caradima;0;33.8719656;0
New;FRI;%;land use;Proportion of forest intersecting the upstream river length from the site;;SwissTLM3D, swissALTI3D;swisstopo;;Polygon (Catchment);Bogdan Caradima;5.80891858;50.17088405;42.21893597
;A.EDO;%;land use;Linear inverse distance weighted (IDW) arable lands within the site catchment;"Distance metric: Euclidean distances of target land use to the outlet/site (i.e., EDO); see Peterson et al. 2011 (doi:10.1111/j.1365-2427.2010.02507.x)";Areal Statistics 2009, swissALTI3D;swisstopo;;Polygon (Catchment);Bogdan Caradima;0;0.065030537;0.01909971
;F.EDO;%;land use;Linear inverse distance weighted (IDW) forests within the site catchment;"Distance metric: Euclidean distances of target land use to the outlet/site (i.e., EDO); see Peterson et al. 2011 (doi:10.1111/j.1365-2427.2010.02507.x)";SwissTLM3D, swissALTI3D;swisstopo;;Polygon (Catchment);Bogdan Caradima;20.22328699;24.79236881;9.941835749
;A.FLO;%;land use;Linear inverse distance weighted (IDW) arable lands within the site catchment;"Distance metric: flow distances (derived from 10m SwissALTI3D DEM) of target land use to the outlet/site (i.e., FLO); see Peterson et al. 2011 (doi:10.1111/j.1365-2427.2010.02507.x)";Areal Statistics 2009, swissALTI3D;swisstopo;;Polygon (Catchment);Bogdan Caradima;0;0.011113358;0.025618506
;F.FLO;%;land use;Linear inverse distance weighted (IDW) forested land within the site catchment;"Distance metric: flow distances (derived from 10m SwissALTI3D DEM) of target land use to the outlet/site (i.e., FLO); see Peterson et al. 2011 (doi:10.1111/j.1365-2427.2010.02507.x)";SwissTLM3D, swissALTI3D;swisstopo;;Polygon (Catchment);Bogdan Caradima;20.22328699;24.79236881;9.941835749
;A.HAFLO;%;land use;Linear inverse distance weighted (IDW) and flow accumulation weighted arable land use within the site catchment;"Distance metric: flow distances (derived from 10m SwissALTI3D DEM) of target land use to the outlet/site (i.e., FLO); see Peterson et al. 2011 (doi:10.1111/j.1365-2427.2010.02507.x)";Areal Statistics 2009, swissALTI3D;swisstopo;;Polygon (Catchment);Bogdan Caradima;0;0.07233803;0.024061852
;F.HAFLO;%;land use;Linear inverse distance weighted (IDW) and flow accumulation weighted forested land within the site catchment;"Distance metric: flow distances (derived from 10m SwissALTI3D DEM) of target land use to the outlet/site (i.e., FLO); see Peterson et al. 2011 (doi:10.1111/j.1365-2427.2010.02507.x)";SwissTLM3D, swissALTI3D;swisstopo;;Polygon (Catchment);Bogdan Caradima;14.79966335;45.16772096;31.45668979
;RiverBasin;class;dispersal;String identifying the major river basin in which the site is located (values = Rhein, Rhone, Inn, Po);;Catchment;BAFU;;Polygon (Catchment);Bogdan Caradima;Inn;Rhein;Rhein
;RiverRhone;boolean;dispersal;Binary value of whether the site is located in the Rhone river basin (1 = yes, 0 = no);;Catchment;BAFU;;Polygon (Catchment);Bogdan Caradima;0;0;0
;RiverRhein;boolean;dispersal;Binary value of whether the site is located in the Rhein river basin (1 = yes, 0 = no);;Catchment;BAFU;;Polygon (Catchment);Bogdan Caradima;0;1;1
;RiverInn;boolean;dispersal;Binary value of whether the site is located in the Inn river basin (1 = yes, 0 = no);;Catchment;BAFU;;Polygon (Catchment);Bogdan Caradima;1;0;0
;RiverPo;boolean;dispersal;Binary value of whether the site is located in the Po river basin (1 = yes, 0 = no);;Catchment;BAFU;;Polygon (Catchment);Bogdan Caradima;0;0;0
;covclass_mobile_blocks;class;substrate;0=0%, 1=1-5%, 2=6-10%,3=11-50%,4=>50% substrate coverage class;;;BDM: Hintermann&Weber, VD:VD ;yes;Line (reach);Nele Schuwirth;3;2;NA
;covclass_coarse_inorganic_sediments;class;substrate;0=0%, 1=1-5%, 2=6-10%,3=11-50%,4=>50% substrate coverage class;;;BDM: Hintermann&Weber, VD:VD ;yes;Line (reach);Nele Schuwirth;3;4;NA
;covclass_gravel;class;substrate;0=0%, 1=1-5%, 2=6-10%,3=11-50%,4=>50% substrate coverage class;;;BDM: Hintermann&Weber, VD:VD ;yes;Line (reach);Nele Schuwirth;3;2;NA
;covclass_sand_silt;class;substrate;0=0%, 1=1-5%, 2=6-10%,3=11-50%,4=>50% substrate coverage class;;;BDM: Hintermann&Weber, VD:VD ;yes;Line (reach);Nele Schuwirth;NA;0;NA
;covclass_fine_sediments;class;substrate;0=0%, 1=1-5%, 2=6-10%,3=11-50%,4=>50% substrate coverage class;;;BDM: Hintermann&Weber, VD:VD ;yes;Line (reach);Nele Schuwirth;NA;0;NA
;covclass_algae_clay;class;substrate;0=0%, 1=1-5%, 2=6-10%,3=11-50%,4=>50% substrate coverage class;;;BDM: Hintermann&Weber, VD:VD ;yes;Line (reach);Nele Schuwirth;NA;0;NA
