Taxa;Prevalence;Taxonomic level;Null_model;iGLM.fit;chGLM.fit;hGLM.fit;GAM.fit;SVM.fit;RF.fit;ANN.fit;expl.pow_iGLM.fit;expl.pow_chGLM.fit;expl.pow_hGLM.fit;expl.pow_GAM.fit;expl.pow_SVM.fit;expl.pow_RF.fit;expl.pow_ANN.fit;iGLM.pred;chGLM.pred;hGLM.pred;GAM.pred;SVM.pred;RF.pred;ANN.pred;expl.pow_iGLM.pred;expl.pow_chGLM.pred;expl.pow_hGLM.pred;expl.pow_GAM.pred;expl.pow_SVM.pred;expl.pow_RF.pred;expl.pow_ANN.pred;iGLM.likelihood.ratio;chGLM.likelihood.ratio;hGLM.likelihood.ratio;GAM.likelihood.ratio;SVM.likelihood.ratio;RF.likelihood.ratio;ANN.likelihood.ratio;Big.model.diff;Big.pred.expl.pow.diff;chGLM.model.diff;chGLM.pred.expl.pow.diff
Occurrence.Leptoceridae;0.080;family;0.556;0.412;0.420;0.421;0.377;0.381;0.098;0.323;0.258;0.243;0.243;0.322;0.314;0.823;0.419;0.434;0.433;0.432;0.432;0.496;0.414;0.438;0.219;0.220;0.222;0.221;0.108;0.255;0.211;0.989;0.994;0.994;0.973;0.944;0.854;0.944;RF-SVM;0.147277856;NA;NA
Occurrence.Asellidae;0.188;family;0.967;0.731;0.739;0.742;0.694;0.724;0.198;0.659;0.245;0.236;0.233;0.283;0.252;0.795;0.318;0.755;0.753;0.752;0.746;0.834;0.722;0.766;0.219;0.222;0.222;0.229;0.138;0.254;0.208;0.988;0.993;0.995;0.974;0.946;0.770;0.948;RF-SVM;0.116375778;NA;NA
Occurrence.Erpobdellidae;0.210;family;1.027;0.777;0.782;0.783;0.744;0.761;0.210;0.691;0.243;0.239;0.238;0.275;0.259;0.796;0.328;0.797;0.797;0.797;0.800;0.869;0.768;0.802;0.224;0.224;0.224;0.221;0.154;0.253;0.219;0.990;0.992;0.993;0.973;0.947;0.757;0.946;RF-SVM;0.098451741;NA;NA
Occurrence.Chloroperlidae;0.186;family;0.959;0.729;0.735;0.737;0.673;0.770;0.199;0.636;0.240;0.234;0.232;0.299;0.197;0.792;0.337;0.771;0.775;0.766;0.735;0.848;0.721;0.726;0.197;0.193;0.201;0.234;0.116;0.248;0.244;0.980;0.980;0.985;0.969;0.962;0.770;0.956;RF-SVM;0.132557732;NA;NA
Occurrence.Ephemerellidae;0.197;family;0.994;0.801;0.808;0.812;0.744;0.696;0.189;0.675;0.194;0.187;0.183;0.251;0.299;0.810;0.321;0.815;0.816;0.826;0.806;0.794;0.751;0.797;0.180;0.179;0.169;0.189;0.201;0.244;0.198;0.993;0.996;0.993;0.969;0.952;0.755;0.941;RF-hGLM;0.075243313;NA;NA
Occurrence.Perlidae;0.143;family;0.821;0.610;0.619;0.619;0.550;0.551;0.158;0.513;0.257;0.247;0.247;0.330;0.329;0.808;0.376;0.635;0.635;0.635;0.608;0.670;0.621;0.625;0.227;0.227;0.226;0.260;0.185;0.244;0.239;0.988;0.992;0.992;0.972;0.942;0.793;0.945;GAM-SVM;0.075525666;NA;NA
Occurrence.Hydrobiidae;0.138;family;0.801;0.604;0.610;0.611;0.568;0.657;0.173;0.552;0.246;0.239;0.237;0.292;0.180;0.784;0.311;0.622;0.626;0.623;0.624;0.711;0.607;0.637;0.224;0.219;0.223;0.221;0.113;0.243;0.205;0.991;0.992;0.994;0.972;0.973;0.805;0.959;RF-SVM;0.129892211;NA;NA
Occurrence.Sphaeriidae;0.429;family;1.366;1.044;1.048;1.050;0.995;0.958;0.304;0.922;0.236;0.233;0.231;0.271;0.298;0.778;0.325;1.058;1.064;1.060;1.047;1.069;1.035;1.043;0.225;0.221;0.224;0.234;0.217;0.243;0.236;0.993;0.992;0.995;0.975;0.946;0.694;0.941;RF-SVM;0.025267404;NA;NA
Occurrence.Lepidostomatidae;0.060;family;0.455;0.369;0.376;0.377;0.320;0.328;0.083;0.284;0.189;0.174;0.171;0.297;0.280;0.819;0.376;0.389;0.393;0.389;0.371;0.405;0.347;0.369;0.145;0.137;0.146;0.186;0.110;0.238;0.189;0.990;0.992;0.994;0.975;0.962;0.876;0.958;RF-SVM;0.127619109;NA;NA
Occurrence.Taeniopterygidae;0.441;family;1.372;1.143;1.151;1.152;1.074;1.013;0.305;0.981;0.167;0.161;0.161;0.217;0.262;0.778;0.285;1.181;1.180;1.177;1.131;1.117;1.061;1.132;0.139;0.140;0.142;0.176;0.186;0.227;0.175;0.981;0.985;0.988;0.972;0.949;0.685;0.927;RF-iGLM;0.087327188;NA;NA
